Florida District Number,English Language Arts Achievement,English Language Arts Learning Gains,English Language Arts Learning Gains of the Lowest 25%,Mathematics Learning Gains,Mathematics Learning Gains of the Lowest 25%,Science Achievement,Grade 2022,Grade 2019,Grade 2018,Grade 2017,Grade 2016,Charter School,Title I,School Type,Percent of Minority Students,Percent of Economically Disadvantaged Students,Mathematics Achievement
5.0,77.0,72.0,69.0,79.0,69.0,74.0,5,5,5,5,5,0,0,1,18.6,26.2,81.0
5.0,83.0,64.0,57.0,78.0,63.0,73.0,5,5,5,5,5,0,0,1,19.2,23.7,80.0
5.0,64.0,51.0,35.0,44.0,38.0,69.0,4,5,5,5,5,0,0,2,19.6,37.9,65.0
5.0,83.0,70.0,67.0,82.0,75.0,76.0,5,5,5,5,5,0,0,1,9.4,20.5,85.0
5.0,40.0,47.0,33.0,50.0,40.0,24.0,2,3,2,4,3,0,1,1,53.3,100.0,44.0
5.0,43.0,49.0,37.0,66.0,71.0,48.0,3,3,3,4,3,1,1,4,74.4,100.0,43.0
5.0,60.0,52.0,43.0,55.0,48.0,60.0,4,5,4,4,5,1,1,4,55.3,70.5,67.0
5.0,68.0,59.0,44.0,69.0,66.0,58.0,5,5,5,5,5,1,0,4,18.0,21.5,68.0
5.0,53.0,51.0,50.0,69.0,58.0,55.0,4,3,3,3,3,1,1,4,41.9,74.3,59.0
5.0,47.0,50.0,40.0,41.0,32.0,33.0,2,4,3,3,2,1,1,1,52.3,95.3,37.0
5.0,27.0,52.0,60.0,54.0,47.0,27.0,3,3,3,3,2,1,1,4,95.2,100.0,33.0
5.0,75.0,59.0,52.0,72.0,65.0,66.0,5,5,5,5,5,1,0,4,32.9,23.1,81.0
5.0,61.0,74.0,72.0,52.0,44.0,69.0,5,4,4,4,3,1,1,1,59.6,87.4,60.0
5.0,64.0,53.0,38.0,69.0,53.0,66.0,4,5,5,5,3,1,0,4,33.6,11.4,78.0
5.0,70.0,57.0,44.0,68.0,61.0,71.0,5,4,5,5,5,1,0,4,30.5,26.8,73.0
5.0,69.0,61.0,44.0,61.0,37.0,61.0,5,5,5,5,5,1,0,4,38.0,17.4,70.0
5.0,68.0,64.0,56.0,50.0,49.0,63.0,4,4,5,4,4,0,0,4,40.4,19.6,44.0
4.0,42.0,64.0,60.0,64.0,53.0,28.0,3,3,2,3,3,0,1,1,84.7,75.2,40.0
4.0,40.0,46.0,44.0,52.0,57.0,44.0,3,3,3,3,3,0,1,2,82.5,70.39999999999998,37.0
4.0,58.0,75.0,82.0,56.0,81.0,34.0,4,3,3,3,1,0,1,1,95.1,75.9,36.0
4.0,38.0,57.0,46.0,57.0,54.0,46.0,3,3,1,2,2,0,1,1,99.4,82.69999999999999,43.0
4.0,52.0,74.0,73.0,79.0,68.0,53.0,5,5,5,4,4,0,1,1,83.9,73.8,56.0
4.0,64.0,66.0,50.0,56.0,36.0,57.0,4,4,5,4,4,0,0,1,68.7,49.0,54.0
4.0,42.0,55.0,40.0,46.0,37.0,30.0,3,3,3,3,3,0,1,1,78.7,69.69999999999999,34.0
4.0,46.0,60.0,46.0,55.0,60.0,36.0,3,4,4,3,3,0,1,4,90.0,74.3,38.0
4.0,37.0,64.0,59.0,72.0,67.0,18.0,3,3,3,3,3,0,1,1,95.9,87.1,37.0
4.0,40.0,59.0,66.0,64.0,73.0,25.0,3,3,3,3,3,0,1,1,94.5,76.1,47.0
4.0,49.0,51.0,41.0,48.0,58.0,49.0,4,3,3,3,3,0,0,3,76.0,57.1,26.0
4.0,87.0,65.0,71.0,79.0,78.0,95.0,5,5,5,5,5,0,0,3,58.8,35.6,82.0
4.0,60.0,68.0,62.0,65.0,54.0,51.0,4,5,3,3,3,0,1,1,83.2,66.60000000000002,60.0
4.0,43.0,66.0,52.0,70.0,53.0,31.0,3,3,3,3,2,0,1,1,84.8,81.10000000000002,46.0
4.0,36.0,44.0,30.0,46.0,67.0,37.0,3,3,3,3,3,0,0,3,93.8,75.6,23.0
4.0,42.0,58.0,48.0,75.0,76.0,41.0,4,3,3,3,3,0,1,1,83.5,80.80000000000001,52.0
4.0,29.0,47.0,47.0,47.0,57.0,25.0,3,3,3,3,2,0,1,1,94.0,79.2,34.0
4.0,38.0,46.0,38.0,48.0,54.0,35.0,3,4,3,3,4,0,0,3,90.5,63.3,24.0
4.0,53.0,56.0,38.0,51.0,40.0,44.0,3,4,4,4,4,0,1,2,75.6,61.3,45.0
4.0,31.0,53.0,46.0,63.0,53.0,29.0,3,3,3,2,1,0,1,1,99.4,89.1,40.0
4.0,19.0,43.0,40.0,51.0,48.0,17.0,2,2,3,2,1,0,1,1,97.4,90.2,22.0
4.0,41.0,60.0,70.0,63.0,55.0,29.0,3,3,2,5,4,0,1,1,96.3,84.6,38.0
4.0,38.0,60.0,67.0,80.0,69.0,19.0,4,3,2,3,1,0,1,1,94.8,87.8,49.0
4.0,47.0,48.0,35.0,56.0,60.0,45.0,3,4,3,3,3,0,1,2,89.7,70.5,42.0
4.0,30.0,45.0,33.0,27.0,41.0,24.0,3,3,3,3,3,0,0,3,97.2,71.1,8.0
4.0,31.0,45.0,38.0,43.0,52.0,37.0,3,3,3,3,3,0,1,4,97.4,76.0,21.0
4.0,31.0,45.0,29.0,68.0,54.0,25.0,3,3,3,4,2,0,1,1,98.4,87.5,54.0
4.0,28.0,38.0,31.0,35.0,53.0,42.0,3,3,3,3,3,0,0,3,95.1,69.19999999999999,16.0
4.0,30.0,53.0,38.0,50.0,50.0,19.0,2,3,2,3,3,0,1,1,93.4,81.0,20.0
4.0,33.0,45.0,40.0,50.0,60.0,33.0,3,3,3,3,3,0,1,2,85.9,72.6,24.0
4.0,32.0,42.0,35.0,47.0,48.0,36.0,3,3,3,3,3,0,1,2,98.4,78.10000000000002,28.0
4.0,79.0,72.0,78.0,84.0,73.0,51.0,5,5,5,5,4,0,0,1,49.6,34.30000000000001,78.0
4.0,32.0,51.0,52.0,59.0,30.0,14.0,2,4,3,3,2,0,1,1,99.3,86.3,31.0
4.0,46.0,73.0,66.0,68.0,66.0,37.0,4,4,3,4,2,0,1,1,97.0,83.5,45.0
4.0,55.0,62.0,43.0,70.0,58.0,44.0,4,4,4,4,3,0,1,1,83.8,74.6,58.0
4.0,48.0,67.0,57.0,91.0,76.0,25.0,4,3,3,3,3,0,1,1,98.3,81.8,63.0
4.0,35.0,40.0,29.0,38.0,48.0,25.0,2,3,3,3,3,0,1,2,93.9,73.1,23.0
4.0,47.0,64.0,53.0,70.0,58.0,45.0,4,3,3,3,3,0,1,1,79.0,68.4,50.0
4.0,39.0,63.0,50.0,76.0,64.0,31.0,3,4,3,3,2,0,1,1,97.0,73.9,47.0
4.0,38.0,48.0,47.0,49.0,54.0,33.0,3,4,4,3,4,0,1,2,92.4,72.3,31.0
4.0,28.0,59.0,59.0,66.0,68.0,29.0,3,2,2,1,3,0,1,1,100.0,91.7,48.0
4.0,26.0,43.0,44.0,60.0,42.0,25.0,2,3,4,3,2,0,1,1,98.7,82.39999999999998,37.0
4.0,89.0,81.0,70.0,82.0,76.0,67.0,5,5,5,5,5,0,0,1,38.1,21.9,86.0
4.0,48.0,61.0,62.0,72.0,73.0,35.0,4,4,3,3,3,0,1,1,77.6,72.2,48.0
4.0,39.0,48.0,41.0,54.0,56.0,37.0,3,3,3,3,3,0,1,4,95.0,79.10000000000002,32.0
4.0,35.0,59.0,49.0,75.0,72.0,20.0,3,3,3,3,3,0,1,1,95.5,79.5,41.0
4.0,42.0,57.0,47.0,67.0,66.0,28.0,3,4,3,4,3,0,1,1,87.4,72.2,39.0
4.0,65.0,76.0,71.0,75.0,65.0,50.0,5,5,4,4,4,0,0,1,64.8,45.5,67.0
4.0,39.0,60.0,53.0,71.0,60.0,52.0,4,3,3,3,2,0,1,1,94.2,85.5,47.0
4.0,41.0,55.0,53.0,54.0,44.0,21.0,3,3,4,4,3,0,1,1,89.9,81.39999999999998,42.0
4.0,41.0,67.0,55.0,73.0,66.0,21.0,3,4,3,3,3,0,1,1,94.7,82.69999999999999,45.0
4.0,40.0,59.0,55.0,79.0,78.0,37.0,4,3,3,3,2,0,1,1,97.3,81.0,56.0
4.0,70.0,67.0,45.0,73.0,59.0,54.0,5,5,4,5,4,0,1,1,53.5,54.9,67.0
4.0,77.0,73.0,54.0,75.0,60.0,69.0,5,5,4,4,3,0,1,1,54.4,49.9,76.0
4.0,45.0,49.0,36.0,58.0,57.0,38.0,3,3,4,4,4,0,1,2,86.6,69.8,39.0
4.0,43.0,45.0,33.0,53.0,48.0,38.0,3,3,3,3,3,0,1,2,83.6,68.10000000000002,40.0
4.0,39.0,39.0,35.0,76.0,65.0,50.0,3,4,4,4,4,0,1,1,99.3,87.8,59.0
4.0,47.0,63.0,51.0,79.0,74.0,31.0,4,3,3,3,2,0,1,1,94.3,82.8,54.0
4.0,40.0,48.0,31.0,50.0,54.0,49.0,3,3,3,3,3,0,1,2,89.1,68.10000000000002,35.0
4.0,39.0,61.0,49.0,59.0,60.0,24.0,3,3,3,3,3,0,1,1,89.6,72.2,41.0
4.0,52.0,66.0,50.0,71.0,63.0,41.0,4,3,3,4,4,0,1,1,88.7,70.5,48.0
